h_deg,v_deg,min_cd,measured_cd,passed
-20,-10,0,91.1855979,PASS
-10,-10,0,199.354286,PASS
-5,-10,80,251.986892,PASS
0,-10,80,279.759563,PASS
5,-10,80,267.875956,PASS
10,-10,0,197.87568,PASS
20,-10,0,94.7629811,PASS
-20,-5,40,103.652426,PASS
-10,-5,80,259.017404,PASS
-5,-5,180,358.148063,PASS
0,-5,280,393.889043,PASS
5,-5,180,348.098713,PASS
10,-5,80,263.379051,PASS
20,-5,40,119.41461,PASS
-20,0,100,108.045423,PASS
-10,0,280,280,PASS
-5,0,360,388.328682,PASS
0,0,400,435.12797,PASS
5,0,360,394.901612,PASS
10,0,280,283.023468,PASS
20,0,100,112.62796,PASS
-20,5,40,102.334168,PASS
-10,5,80,261.002173,PASS
-5,5,180,349.692924,PASS
0,5,280,394.432401,PASS
5,5,180,344.545549,PASS
10,5,80,258.490358,PASS
20,5,40,103.649896,PASS
-20,10,0,87.3556439,PASS
-10,10,0,193.351542,PASS
-5,10,80,258.394638,PASS
0,10,80,278.16099,PASS
5,10,80,248.926058,PASS
10,10,0,200.688178,PASS
20,10,0,81.9116646,PASS

Imax_cd,468.135218,limit_cd,1200,PASS
apparent_area_cm2,25,range_cm2,25-200,PASS
overall,PASS
