h_deg,v_deg,min_cd,measured_cd,passed
-20,-10,0,0,PASS
-10,-10,0,0,PASS
-5,-10,80,80,PASS
0,-10,80,80,PASS
5,-10,80,80,PASS
10,-10,0,0,PASS
20,-10,0,0,PASS
-20,-5,40,40,PASS
-10,-5,80,80,PASS
-5,-5,180,180,PASS
0,-5,280,280,PASS
5,-5,180,180,PASS
10,-5,80,80,PASS
20,-5,40,40,PASS
-20,0,100,100,PASS
-10,0,280,280,PASS
-5,0,360,360,PASS
0,0,400,400,PASS
5,0,360,360,PASS
10,0,280,280,PASS
20,0,100,100,PASS
-20,5,40,40,PASS
-10,5,80,80,PASS
-5,5,180,180,PASS
0,5,280,280,PASS
5,5,180,180,PASS
10,5,80,80,PASS
20,5,40,40,PASS
-20,10,0,0,PASS
-10,10,0,0,PASS
-5,10,80,80,PASS
0,10,80,80,PASS
5,10,80,80,PASS
10,10,0,0,PASS
20,10,0,0,PASS

Imax_cd,400,limit_cd,1200,PASS
apparent_area_cm2,27,range_cm2,25-200,PASS
overall,PASS
