h_deg,v_deg,min_cd,measured_cd,passed
-20,-10,0,95.6363501,PASS
-10,-10,0,207.109515,PASS
-5,-10,80,268.518091,PASS
0,-10,80,285.513077,PASS
5,-10,80,264.675423,PASS
10,-10,0,208.061352,PASS
20,-10,0,100.897825,PASS
-20,-5,40,107.509285,PASS
-10,-5,80,256.717902,PASS
-5,-5,180,352.081327,PASS
0,-5,280,390.931438,PASS
5,-5,180,351.946954,PASS
10,-5,80,272.718928,PASS
20,-5,40,111.514091,PASS
-20,0,100,115.183054,PASS
-10,0,280,280,PASS
-5,0,360,396.430808,PASS
0,0,400,437.829005,PASS
5,0,360,398.976392,PASS
10,0,280,286.698547,PASS
20,0,100,120.125677,PASS
-20,5,40,109.915386,PASS
-10,5,80,268.549563,PASS
-5,5,180,355.980104,PASS
0,5,280,398.345318,PASS
5,5,180,364.047247,PASS
10,5,80,256.983296,PASS
20,5,40,105.764364,PASS
-20,10,0,93.4782726,PASS
-10,10,0,210.503597,PASS
-5,10,80,271.49467,PASS
0,10,80,287.031651,PASS
5,10,80,274.624405,PASS
10,10,0,213.91051,PASS
20,10,0,90.630336,PASS

Imax_cd,461.013047,limit_cd,1200,PASS
apparent_area_cm2,37.5,range_cm2,25-200,PASS
overall,PASS
