h_deg,v_deg,flux_lm,solid_angle_sr,intensity_cd
-29.5,-19.5,0.003306,0.000287141374,11.5134923
-28.5,-19.5,0.001653,0.000287141374,5.75674615
-27.5,-19.5,0.0024795,0.000287141374,8.63511922
-26.5,-19.5,0.0018183,0.000287141374,6.33242076
-25.5,-19.5,0.0029754,0.000287141374,10.3621431
-24.5,-19.5,0.0036366,0.000287141374,12.6648415
-23.5,-19.5,0.0023142,0.000287141374,8.05944461
-22.5,-19.5,0.0023142,0.000287141374,8.05944461
-21.5,-19.5,0.0023142,0.000287141374,8.05944461
-20.5,-19.5,0.0023142,0.000287141374,8.05944461
-19.5,-19.5,0.0026448,0.000287141374,9.21079384
-18.5,-19.5,0.0038019,0.000287141374,13.2405161
-17.5,-19.5,0.0024795,0.000287141374,8.63511922
-16.5,-19.5,0.0029754,0.000287141374,10.3621431
-15.5,-19.5,0.0029754,0.000287141374,10.3621431
-14.5,-19.5,0.0024795,0.000287141374,8.63511922
-13.5,-19.5,0.0028101,0.000287141374,9.78646845
-12.5,-19.5,0.0026448,0.000287141374,9.21079384
-11.5,-19.5,0.0018183,0.000287141374,6.33242076
-10.5,-19.5,0.0023142,0.000287141374,8.05944461
-9.5,-19.5,0.0023142,0.000287141374,8.05944461
-8.5,-19.5,0.0024795,0.000287141374,8.63511922
-7.5,-19.5,0.0029754,0.000287141374,10.3621431
-6.5,-19.5,0.0021489,0.000287141374,7.48376999
-5.5,-19.5,0.0019836,0.000287141374,6.90809538
-4.5,-19.5,0.001653,0.000287141374,5.75674615
-3.5,-19.5,0.0029754,0.000287141374,10.3621431
-2.5,-19.5,0.0009918,0.000287141374,3.45404769
-1.5,-19.5,0.0021489,0.000287141374,7.48376999
-0.5,-19.5,0.0018183,0.000287141374,6.33242076
0.5,-19.5,0.0036366,0.000287141374,12.6648415
1.5,-19.5,0.003306,0.000287141374,11.5134923
2.5,-19.5,0.0029754,0.000287141374,10.3621431
3.5,-19.5,0.0019836,0.000287141374,6.90809538
4.5,-19.5,0.0021489,0.000287141374,7.48376999
5.5,-19.5,0.0038019,0.000287141374,13.2405161
6.5,-19.5,0.0026448,0.000287141374,9.21079384
7.5,-19.5,0.0021489,0.000287141374,7.48376999
8.5,-19.5,0.0024795,0.000287141374,8.63511922
9.5,-19.5,0.0026448,0.000287141374,9.21079384
10.5,-19.5,0.0031407,0.000287141374,10.9378177
11.5,-19.5,0.0031407,0.000287141374,10.9378177
